index,true_class,predicted_class,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
3,0,0,0.9995684027671814,1.1072027916725347e-07,1.9483425148791866e-06,1.3180895166442497e-06,4.5337618104213107e-08,7.572082267870428e-07,0.0003494097327347845,3.956701277729735e-07,1.1295611557216034e-06,7.651197665836662e-05
2,1,1,1.591526029187662e-06,0.9999488592147827,3.986008323408896e-07,7.622749542690599e-09,9.50147477851715e-06,5.708035132556688e-06,5.486197551363148e-06,2.1644595108227804e-05,5.903015335206874e-06,8.808288498585171e-07
1,2,2,4.933131094730925e-07,2.7687274268828332e-05,0.9999710321426392,4.891633125225781e-07,8.597201173188296e-09,3.119592041286867e-12,3.180283769665948e-08,8.548119012630195e-08,2.6893764015767374e-07,3.4865264009198427e-09
18,3,3,0.002688849112018943,1.1254699529672507e-05,0.007351430598646402,0.950574517250061,5.741881068388466e-07,0.01869884319603443,0.0004343716718722135,1.1982668183918577e-05,0.02007894217967987,0.00014923747221473604
4,4,4,1.2268932536585453e-09,5.465525632075696e-08,4.105873419035788e-09,1.154544126968915e-09,0.9999608993530273,1.3223811947682407e-06,3.267145842755781e-08,5.5302788126709856e-08,6.200929874466965e-06,3.148536416119896e-05
8,5,5,3.829294143997686e-07,6.24695462025926e-10,6.287364584522948e-08,1.1749882844469539e-07,6.438297646127467e-07,0.9935504198074341,0.0019599602092057467,1.9454587274481128e-08,0.004483414813876152,5.030055035604164e-06
11,6,6,3.411059196878341e-06,6.249848728823171e-12,9.878117213091286e-10,1.159488949298293e-08,4.495822736316768e-08,2.921195800809073e-07,0.9999903440475464,1.034115067882757e-12,5.844252882525325e-06,2.3179575592280344e-08
0,7,7,5.721147289250439e-08,1.2343856496954686e-06,2.573950587247964e-05,7.777896826155484e-06,9.358590569163994e-10,2.7717367956370254e-08,2.2068694094379282e-11,0.999956488609314,6.750359204943379e-08,8.595285180490464e-06
61,8,8,1.8659315514923946e-07,4.5615205834792505e-08,0.0004559294320642948,0.001719718798995018,1.1181782610947266e-06,8.742594218347222e-06,1.2874639310211933e-07,8.405601903405113e-08,0.9973674416542053,0.00044663960579782724
7,9,9,2.8522329387214995e-08,1.1564937096864014e-07,7.3804417297651526e-06,1.9039702237932943e-05,0.0005721852649003267,4.378496669232845e-06,1.6767778832083025e-10,5.043530109105632e-07,1.118678119382821e-05,0.9993851184844971
