index,true_class,predicted_class,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
3,0,0,0.999859094619751,1.9433855413808487e-06,8.456270734313875e-05,1.6028695881686872e-07,1.0207958922592297e-07,1.0162962098547723e-06,1.3502770343620796e-05,1.2769433851644862e-05,3.329703588406119e-07,2.6399702619528398e-05
2,1,1,7.285396463885263e-07,0.999480664730072,1.706221701169852e-05,3.711914905579761e-05,7.937124610180035e-05,1.9445037651166786e-06,3.048271082661813e-06,0.0002893295604735613,8.704531501280144e-05,3.696972726174863e-06
1,2,2,1.1568604207923272e-07,0.0004304286267142743,0.9974983334541321,0.0020692588295787573,3.1261855083786205e-12,6.75174334219264e-08,2.2533054533369068e-08,1.1525607135354221e-08,1.8197306417278014e-06,3.0178273074943363e-12
18,3,3,5.2860112191410735e-05,9.215117461280897e-05,0.00024706905242055655,0.9630110263824463,3.959281093557365e-05,0.0028398572467267513,5.204253102419898e-05,4.022344364784658e-05,0.033592984080314636,3.221584847779013e-05
4,4,4,4.181990220786247e-07,1.4222999311641615e-07,2.2607119376516494e-07,4.047155055530993e-09,0.9995470643043518,1.715120419021332e-07,4.199002887617098e-07,7.084067874529865e-06,8.777426501183072e-07,0.0004435740120243281
8,5,5,3.1496365409111604e-05,6.480186857515946e-05,0.0006389978225342929,9.456026600673795e-05,0.0007059584022499621,0.6738585829734802,0.17246295511722565,2.1541827663895674e-06,0.15144343674182892,0.0006970878457650542
11,6,6,8.316475032188464e-06,1.0214210277581515e-07,1.0356575330661144e-07,1.6071805220008173e-08,1.0828376844074228e-06,1.9904307919205166e-05,0.9999333620071411,1.6144182657384931e-09,3.7096884625498205e-05,3.3093738860401345e-10
0,7,7,2.6863381208386272e-06,3.7439886568790826e-07,1.3212723388278391e-05,0.00020586697792168707,9.455936034186152e-10,6.844588256171846e-07,1.528658791346768e-13,0.9997147917747498,1.617738462300622e-06,6.07470610702876e-05
61,8,8,9.786380360310432e-06,3.333812492201105e-05,0.03384529799222946,0.0012618248583748937,6.52790731692221e-06,1.2392506505420897e-05,1.1690628980431939e-06,6.61379744997248e-05,0.9647498726844788,1.3640404176840093e-05
7,9,9,1.1628259244389483e-07,1.031835017784033e-05,2.7369902454665862e-05,0.0006220400682650506,0.00177323492243886,5.830426380271092e-05,1.0440605047179474e-09,0.00014557527902070433,8.287793207273353e-06,0.9973548650741577
