step,A1,A2,A3,B1,B2,C1,C2,total
1,2,2,2,2,0,2,2,12
2,2,2,2,3,0,2,2,13
3,3,2,2,3,0,3,3,16
4,3,2,3,3,1,3,3,18
5,3,2,3,3,1,3,3,18
6,3,2,3,3,1,3,3,18
7,3,2,3,3,1,3,3,18
8,3,2,3,3,1,3,3,18
9,3,2,3,3,1,3,3,18
10,3,2,3,3,1,3,3,18
11,2,1,2,3,1,3,3,15
12,2,1,2,3,1,3,3,15
13,2,1,2,3,1,3,3,15
14,1,0,1,3,1,3,3,12
15,1,0,1,3,1,3,3,12
16,1,0,1,3,1,3,3,12
17,1,0,1,3,1,3,3,12
18,1,0,1,3,1,3,3,12
19,1,0,1,3,1,3,3,12
20,1,0,1,3,1,3,3,12
21,1,0,1,3,1,3,3,12
22,1,0,1,3,1,3,3,12
23,1,0,1,3,1,3,3,12
24,1,0,1,2,0,3,2,9
25,1,0,1,2,0,3,2,9
26,1,0,1,2,0,3,2,9
27,1,0,1,1,0,3,1,7
28,1,0,1,1,0,3,1,7
29,1,0,1,1,0,3,1,7
30,1,0,1,1,0,3,0,6
31,2,1,1,1,0,3,0,8
32,2,1,2,1,0,3,0,9
33,2,1,2,1,0,4,1,11
34,2,1,2,1,0,4,1,11
35,2,1,2,1,0,4,1,11
36,3,2,2,1,0,4,1,13
37,3,2,3,1,0,3,1,13
38,3,2,3,2,0,3,1,14
39,3,2,3,2,0,3,1,14
40,3,2,3,2,1,2,1,14
41,4,3,4,2,1,2,1,17
42,4,3,4,2,1,2,1,17
43,4,3,4,2,1,2,1,17
44,4,3,4,2,1,2,1,17
45,5,4,4,2,1,2,1,19
46,5,4,5,2,1,2,1,20
47,5,4,5,2,1,2,1,20
48,5,4,5,2,1,2,1,20
49,5,5,5,2,1,2,1,21
50,5,4,5,2,1,2,1,20
51,5,4,5,2,1,2,1,20
52,5,4,5,2,1,2,1,20
53,4,3,4,2,1,2,1,17
54,5,4,4,2,1,2,1,19
55,5,4,5,2,1,2,1,20
56,5,4,5,2,1,2,1,20
57,5,4,5,2,1,2,1,20
58,5,5,5,2,1,2,1,21
59,6,5,5,2,1,2,1,22
60,6,5,5,2,1,2,1,22
61,6,5,5,2,1,2,1,22
62,6,5,5,3,2,2,1,24
63,6,5,6,2,1,3,0,23
64,6,5,6,2,1,3,0,23
65,6,5,6,2,1,3,0,23
66,6,5,6,1,0,3,0,21
67,6,5,6,1,0,3,1,22
68,6,5,6,1,0,3,1,22
69,6,5,6,1,0,3,1,22
70,6,5,6,2,1,3,1,24
71,6,5,6,2,1,3,1,24
72,6,5,6,2,1,3,1,24
73,6,5,6,2,1,3,1,24
74,6,5,6,2,1,3,1,24
75,6,5,6,2,1,3,1,24
76,6,5,6,2,2,2,0,23
77,6,5,6,2,2,2,0,23
78,6,5,6,3,2,2,0,24
79,6,5,6,3,1,1,0,22
80,6,5,6,3,1,1,0,22
81,6,5,6,3,1,1,0,22
82,6,5,6,3,2,1,0,23
83,6,5,6,3,2,1,0,23
84,6,5,6,3,2,1,0,23
85,6,5,6,3,2,1,0,23
86,6,5,6,4,2,1,0,24
87,6,5,6,4,2,1,0,24
88,6,6,6,4,2,1,0,25
89,5,5,5,4,3,1,0,23
90,5,5,5,4,3,1,0,23
91,5,5,5,4,3,2,1,25
92,4,4,4,4,3,2,1,22
93,4,4,5,4,3,2,1,23
94,4,4,5,4,3,2,1,23
95,5,4,5,4,3,2,1,24
96,5,4,5,4,3,2,1,24
97,5,4,5,4,3,2,1,24
98,5,4,5,4,3,2,1,24
99,5,4,5,4,3,3,2,26
100,5,4,5,4,3,3,2,26
101,5,4,5,4,3,3,2,26
102,5,4,5,3,2,3,1,23
103,5,4,5,3,2,3,1,23
104,5,4,5,3,2,3,1,23
105,5,4,5,2,1,3,0,20
106,5,4,5,3,1,3,0,21
107,5,4,5,3,1,4,1,23
108,5,4,5,3,0,4,1,22
109,5,4,5,3,0,4,1,22
110,5,4,5,3,0,4,1,22
111,5,4,5,3,0,4,1,22
112,5,4,5,3,0,4,1,22
113,5,4,5,3,0,4,1,22
114,5,4,5,3,0,4,2,23
115,5,4,5,3,0,4,2,23
116,5,4,5,3,0,4,1,22
117,5,4,5,3,0,4,1,22
118,5,4,5,3,0,3,1,21
119,5,4,5,3,0,3,1,21
120,5,4,5,3,0,3,1,21
121,5,4,5,3,0,3,1,21
122,5,4,5,3,0,3,1,21
123,5,4,5,3,0,3,1,21
124,5,5,5,3,0,3,1,22
125,6,5,5,3,1,3,1,24
126,6,5,5,3,1,3,1,24
127,6,5,5,3,1,3,1,24
128,5,4,4,3,1,3,2,22
129,5,4,5,3,1,3,2,23
130,5,4,5,3,1,4,2,24
131,4,3,4,3,1,4,2,21
132,4,3,4,3,1,4,2,21
133,4,3,4,3,1,4,2,21
134,4,3,4,3,1,4,2,21
135,4,3,4,3,1,4,2,21
136,4,3,4,4,1,4,2,22
137,4,3,4,4,1,4,2,22
138,4,3,4,4,1,4,2,22
139,4,3,4,4,1,4,2,22
140,4,3,4,4,1,4,2,22
141,4,3,4,3,0,4,1,19
142,4,3,4,3,0,4,1,19
143,4,3,4,3,0,4,1,19
144,4,3,4,2,0,4,0,17
145,4,3,4,2,0,4,0,17
146,4,3,4,2,0,4,0,17
147,4,3,4,2,0,4,0,17
148,4,3,4,2,0,4,0,17
149,4,3,4,2,0,4,0,17
150,4,3,4,2,0,4,0,17
