step,A1,A2,A3,B1,B2,C1,C2,total
1,1,1,2,2,1,0,0,7
2,1,1,2,2,1,1,0,8
3,2,1,3,2,2,1,0,11
4,2,1,3,2,2,1,0,11
5,2,2,3,3,2,1,1,14
6,2,2,3,3,2,1,1,14
7,2,2,3,3,2,1,1,14
8,2,2,3,3,2,1,1,14
9,2,2,3,3,2,1,1,14
10,2,2,3,3,2,1,1,14
11,1,1,2,3,2,1,1,11
12,1,1,2,3,2,1,1,11
13,1,1,2,3,2,1,1,11
14,0,0,1,3,2,1,1,8
15,0,0,1,3,2,1,1,8
16,0,0,1,3,2,1,1,8
17,0,0,0,3,2,1,1,7
18,0,0,0,3,2,1,1,7
19,0,0,0,3,2,1,1,7
20,0,0,0,3,2,1,1,7
21,0,0,0,3,2,1,1,7
22,0,0,0,3,2,1,1,7
23,0,0,0,3,2,1,1,7
24,0,0,0,3,2,1,1,7
25,0,0,0,3,2,1,1,7
26,0,0,0,3,2,1,1,7
27,0,0,0,3,2,1,1,7
28,0,0,0,2,1,1,0,4
29,0,0,0,2,1,1,0,4
30,0,0,0,2,1,2,0,5
31,0,0,1,1,0,2,0,4
32,0,0,1,1,0,2,0,4
33,0,0,1,1,1,2,1,6
34,0,0,1,0,1,2,1,5
35,0,0,1,1,1,2,1,6
36,0,0,1,1,1,2,1,6
37,1,1,1,0,1,2,1,7
38,1,1,1,0,2,2,1,8
39,1,1,1,0,2,2,1,8
40,1,1,1,1,2,2,1,9
41,1,1,1,1,2,2,1,9
42,1,1,1,1,1,2,0,7
43,1,1,1,1,2,2,0,8
44,1,1,1,1,2,2,0,8
45,1,1,1,2,1,2,0,8
46,1,1,1,2,1,2,0,8
47,1,1,1,2,2,1,0,8
48,1,1,1,2,1,1,0,7
49,1,1,1,2,1,1,0,7
50,1,1,1,3,1,0,0,7
51,1,1,1,3,0,0,0,6
52,1,1,1,3,1,0,0,7
53,1,1,1,3,1,0,0,7
54,1,1,1,4,0,0,0,7
55,1,1,1,4,0,0,0,7
56,1,1,1,4,0,0,0,7
57,1,1,1,4,1,0,0,8
58,1,1,1,4,1,0,0,8
59,1,1,1,5,1,0,0,9
60,1,1,1,5,1,0,0,9
61,1,1,1,5,1,0,0,9
62,1,1,1,5,2,0,0,10
63,1,1,2,6,2,0,0,12
64,0,0,1,6,2,0,0,9
65,0,0,1,6,2,0,0,9
66,0,0,1,6,3,1,0,11
67,0,0,0,7,3,1,1,12
68,0,0,0,7,3,1,1,12
69,1,1,0,7,3,1,1,14
70,1,1,0,7,4,1,1,15
71,1,1,0,7,4,1,1,15
72,1,1,0,8,4,1,1,16
73,1,1,0,8,4,1,1,16
74,1,1,0,8,4,1,1,16
75,1,1,0,8,5,1,1,17
76,1,1,0,8,5,1,1,17
77,1,1,0,9,5,1,1,18
78,1,1,0,8,4,1,0,15
79,1,1,0,8,4,1,0,15
80,1,1,0,8,5,1,0,16
81,1,1,0,7,4,1,0,14
82,1,1,0,8,4,1,0,15
83,1,1,0,8,4,1,0,15
84,1,1,0,7,3,1,0,13
85,1,1,0,7,4,1,0,14
86,1,1,0,7,4,1,0,14
87,1,1,0,7,3,1,0,13
88,1,1,0,7,3,1,0,13
89,1,1,0,7,4,1,0,14
90,1,1,0,6,3,1,0,12
91,1,1,0,6,3,1,0,12
92,1,1,0,7,3,1,0,13
93,1,1,1,7,3,1,0,14
94,1,1,1,7,3,1,0,14
95,1,1,1,7,3,1,0,14
96,1,1,1,7,2,1,0,13
97,2,2,1,7,2,1,0,15
98,2,2,1,7,2,2,0,16
99,2,2,1,7,1,2,0,15
100,2,2,1,7,1,1,0,14
101,2,2,1,7,1,1,1,15
102,2,2,1,7,0,1,1,14
103,2,2,1,7,0,0,1,13
104,2,2,1,7,0,0,1,13
105,2,2,1,7,0,0,1,13
106,2,2,1,7,0,0,1,13
107,2,2,1,7,0,0,1,13
108,2,2,1,7,0,0,1,13
109,2,2,1,7,0,0,1,13
110,2,2,1,7,0,0,1,13
111,2,2,1,7,0,0,1,13
112,2,2,1,7,0,0,1,13
113,1,1,0,7,0,0,1,10
114,1,1,0,7,0,0,1,10
115,1,1,0,7,0,0,1,10
116,0,0,0,7,0,0,1,8
117,0,0,0,7,0,0,1,8
118,0,0,0,7,0,0,1,8
119,0,0,0,7,0,0,1,8
120,0,0,0,8,0,0,1,9
121,0,0,0,8,0,0,1,9
122,0,0,0,8,0,0,1,9
123,0,0,1,8,0,0,1,10
124,0,0,1,8,0,0,1,10
125,0,1,1,8,1,0,1,12
126,0,1,1,8,1,1,1,13
127,0,1,1,7,1,1,0,11
128,0,1,1,7,1,1,0,11
129,0,1,1,7,1,1,0,11
130,0,1,1,6,1,1,0,10
131,0,1,1,6,1,1,0,10
132,0,1,1,6,1,1,0,10
133,1,1,1,5,1,1,1,11
134,1,1,1,5,0,1,1,10
135,1,1,1,5,0,1,1,10
136,1,1,1,4,0,1,1,9
137,1,1,1,4,0,1,1,9
138,1,1,1,4,0,1,1,9
139,1,1,1,4,0,1,1,9
140,1,1,1,4,0,1,1,9
141,1,1,1,4,0,1,1,9
142,1,1,1,4,0,1,0,8
143,1,1,1,4,0,1,0,8
144,1,1,1,4,0,1,0,8
145,1,1,1,4,0,1,0,8
146,1,1,1,4,0,1,0,8
147,1,1,1,4,0,1,0,8
148,1,1,1,4,0,0,0,7
149,1,1,1,4,0,0,0,7
150,1,1,1,5,0,0,0,8
