mode,controller,max_total,final_total,mean_total,max_lane,final_lane
2,fixed,26,17,19.253,6 6 6 4 3 4 3,4 3 4 2 0 4 0
2,fuzzy,24,9,14.640,7 7 6 4 4 6 4,1 1 1 2 0 4 0
3,fixed,23,13,14.093,1 1 3 2 2 12 7,1 0 1 0 0 11 0
3,fuzzy,21,14,15.573,2 2 3 2 2 12 7,2 2 2 1 0 7 0
4,fixed,25,12,14.347,2 2 3 12 8 2 1,1 0 0 10 0 1 0
4,fuzzy,18,8,10.300,2 2 3 9 5 2 1,1 1 1 5 0 0 0
5,fixed,33,28,19.560,9 14 9 2 1 2 3,7 13 7 0 0 1 0
5,fuzzy,25,13,13.960,5 11 5 2 1 2 3,1 8 1 1 1 1 0
6,fixed,46,34,24.158,9 17 9 12 8 8 14,6 14 6 6 1 1 0
6,fuzzy,32,14,17.776,6 14 6 10 8 8 10,0 8 0 3 1 1 1
